iter	Passed	Remaining
0	62	62492
1	72	36112
2	82	27530
3	96	23985
4	110	22084
5	123	20462
6	136	19432
7	152	18866
8	167	18444
9	183	18178
10	198	17861
11	214	17639
12	228	17384
13	243	17163
14	258	16956
15	270	16654
16	285	16507
17	299	16356
18	311	16080
19	322	15800
20	333	15541
21	344	15309
22	356	15130
23	367	14926
24	378	14757
25	389	14580
26	400	14432
27	411	14279
28	422	14141
29	433	14005
30	443	13877
31	455	13778
32	466	13679
33	478	13589
34	489	13501
35	502	13455
36	513	13371
37	525	13298
38	536	13220
39	547	13143
40	559	13083
41	570	13022
42	582	12954
43	593	12892
44	604	12831
45	616	12788
46	628	12734
47	639	12685
48	651	12644
49	662	12593
50	674	12548
51	686	12508
52	697	12456
53	708	12418
54	720	12371
55	731	12324
56	742	12286
57	754	12256
58	768	12261
59	785	12300
60	799	12301
61	814	12320
62	830	12345
63	846	12383
64	862	12411
65	879	12453
66	895	12467
67	912	12502
68	928	12533
69	945	12566
70	962	12600
71	979	12624
72	995	12647
73	1012	12675
74	1029	12698
75	1045	12709
76	1062	12738
77	1078	12751
78	1096	12788
79	1133	13031
80	1154	13099
81	1174	13146
82	1189	13145
83	1203	13128
84	1217	13110
85	1233	13114
86	1246	13077
87	1258	13038
88	1270	13008
89	1288	13024
90	1304	13033
91	1322	13052
92	1338	13056
93	1355	13062
94	1374	13095
95	1392	13111
96	1409	13125
97	1427	13139
98	1445	13153
99	1462	13158
100	1478	13157
101	1491	13128
102	1503	13092
103	1514	13051
104	1526	13013
105	1538	12971
106	1549	12930
107	1561	12893
108	1572	12857
109	1584	12820
110	1596	12785
111	1607	12748
112	1619	12711
113	1630	12675
114	1645	12661
115	1659	12647
116	1674	12639
117	1690	12638
118	1706	12637
119	1723	12636
120	1739	12636
121	1754	12630
122	1770	12622
123	1786	12619
124	1802	12615
125	1818	12614
126	1834	12607
127	1849	12599
128	1865	12594
129	1878	12569
130	1889	12536
131	1901	12504
132	1913	12470
133	1924	12438
134	1936	12407
135	1952	12401
136	1969	12405
137	1984	12398
138	2001	12399
139	2017	12392
140	2033	12391
141	2050	12391
142	2068	12395
143	2083	12384
144	2100	12385
145	2116	12380
146	2132	12374
147	2148	12370
148	2162	12349
149	2174	12319
150	2185	12289
151	2197	12259
152	2208	12227
153	2219	12193
154	2231	12163
155	2242	12133
156	2256	12118
157	2271	12106
158	2286	12094
159	2302	12088
160	2318	12083
161	2335	12079
162	2351	12075
163	2367	12070
164	2383	12060
165	2398	12051
166	2415	12046
167	2431	12043
168	2445	12026
169	2458	12005
170	2470	11977
171	2482	11948
172	2493	11919
173	2504	11891
174	2516	11864
175	2528	11836
176	2539	11808
177	2555	11800
178	2569	11785
179	2584	11773
180	2600	11767
181	2617	11765
182	2634	11761
183	2650	11753
184	2668	11755
185	2684	11747
186	2700	11738
187	2715	11726
188	2727	11703
189	2738	11675
190	2750	11648
191	2761	11621
192	2772	11593
193	2784	11567
194	2795	11541
195	2807	11515
196	2818	11488
197	2830	11462
198	2841	11436
199	2852	11411
200	2863	11383
201	2874	11356
202	2885	11330
203	2896	11303
204	2907	11276
205	2919	11251
206	2930	11227
207	2941	11202
208	2953	11176
209	2964	11152
210	2975	11126
211	2986	11102
212	2997	11075
213	3008	11051
214	3020	11027
215	3031	11002
216	3042	10979
217	3054	10956
218	3065	10931
219	3076	10907
220	3087	10883
221	3099	10861
222	3110	10837
223	3121	10815
224	3133	10791
225	3144	10767
226	3155	10744
227	3166	10720
228	3177	10697
229	3188	10675
230	3199	10652
231	3211	10630
232	3222	10607
233	3233	10584
234	3244	10562
235	3255	10540
236	3267	10518
237	3278	10495
238	3289	10474
239	3301	10453
240	3312	10430
241	3323	10409
242	3334	10387
243	3344	10363
244	3356	10344
245	3367	10322
246	3379	10301
247	3390	10280
248	3401	10258
249	3412	10236
250	3423	10215
251	3434	10194
252	3445	10174
253	3457	10155
254	3472	10146
255	3488	10138
256	3506	10136
257	3521	10126
